"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_server_browser_tab_root_filters_root_filters_content_region_setting_container_region_setting_region_setting_panel_region_button_label0","REGION","REGION","REGION","REGION","РЕГИОН","REGION","REGION","REGIONE","REGIÓN","RÉGION","地區","地域","REGIÃO","区域",
"str_server_browser_list_entry_root_detailed_info_detail_info_panel_ip_ip_label0","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP :","IP：","IP：","IP:","IP：",
"str_server_browser_tab_root_filters_root_filters_content_refresh_list_button0","REFRESH SERVER LIST","REFRESH SERVER LIST","OBNOVIT SEZNAM SERVERŮ","SERVERLISTE AKTUALISIEREN","ОБНОВИТЬ СПИСОК СЕРВЕРОВ","ODŚWIEŻ LISTĘ SERWERÓW","REFRESH SERVER LIST","AGGIORNA LISTA SERVER","ACTUALIZAR LISTA DE SERVIDORES","ACTUALISER LES SERVEURS","刷新伺服器清單","サーバーリストをリフレッシュ","ATUALIZAR LISTA DE SERVIDORES","刷新服务器列表",
"str_server_browser_list_entry_root_detailed_info_detail_info_panel_shard_shard_text0","Private","Private","Soukromé","Privat","Закрытый","Prywatny","Private","Privata","Privado","Privés","私人","非公開","Privado","私有",
"str_server_browser_tab_root_filters_root_filters_content_prev_played_setting_container_prev_played_setting_prev_played_setting_panel_prev_played_setting_label0","PREVIOUSLY PLAYED","PREVIOUSLY PLAYED","HRÁNO V MINULOSTI","ZULETZT GESPIELT","ПОСЕЩЁННЫЕ РАНЕЕ","ODWIEDZONO","PREVIOUSLY PLAYED","ESEGUITO IN PRECEDENZA","YA UTILIZADOS","DÉJÀ UTILISÉS","曾經遊玩","前にプレイ済み","JOGADO ANTERIORMENTE","之前玩过",
"server_browser_tab_official","Official","Official","Oficiální","Offiziell","Официальный","Oficjalne","Official","Ufficiale","Oficial","Officiels","官方","公式","Oficial","官方",
"str_server_browser_tab_root_filters_root_filters_content_ping_setting_container_ping_setting_ping_setting_panel_ping_setting_label0","PING","PING","PING","PING","ПИНГ","PING","PING","PING","PING","PING","PING","ping","PING","PING",
"str_server_browser_list_entry_root_detailed_info_detail_info_panel_character_alive_character_alive_label0","Character Alive:","Character Alive:","Postava naživu:","Charakter lebendig:","Имеется персонаж:","Żywa postać:","Character Alive:","Personaggio esistente:","Personaje vivo:","Perso vivant :","存活人物：","キャラクターが生存：","Personagem vivo:","活着的角色：",
"str_server_browser_tab_root_filters_root_filters_content_password_setting_container_password_setting_password_setting_panel_password_setting_label0","PASSWORDED","PASSWORDED","CHRÁNĚNO HESLEM","MIT PASSWORT","ЗАЩИЩЕННЫЕ ПАРОЛЕМ","NA HASŁO","PASSWORDED","CON PASSWORD","CON CONTRASEÑA","AVEC MOT DE PASSE","密碼保護","パスワード保護","COM SENHA","已设定密码",
"server_browser_tab_unable_to_get_server","Unable to get servers. ","Unable to get servers. ","Servery se nepodařilo načíst.","Server können nicht abgerufen werden.","Не удается загрузить список серверов. ","Nie udało się wyszukać serwerów. ","Unable to get servers. ","Impossibile raggiungere i server. ","No se puede conectar con los servidores.","Impossible de trouver un serveur. ","查找伺服器失敗。","サーバーが見つかりません。","Impossível obter servidores. ","无法获取服务器。",
"str_server_browser_tab_root_filters_root_filters_content_full_server_setting_container_full_server_setting_full_server_setting_panel_full_server_setting_label0","FULL SERVER","FULL SERVER","PLNÝ SERVER","VOLLER SERVER","ЗАПОЛНЕННЫЙ СЕРВЕР","PEŁNY SERWER","FULL SERVER","SERVER COMPLETO","SERVIDOR LLENO","SERVEUR COMPLET","伺服器滿載","満員サーバー","SERVIDOR CHEIO","已满服务器",
"str_server_browser_list_entry_root_detailed_info_detail_info_panel_battlleye_battlleye_text0","ON","ON","ZAP","AN","ВКЛ","WŁ.","ON","SÌ","SÍ","OUI","開","オン","SIM","开",
"server_browser_tab_loaded","Loaded","Loaded","Načteno","Geladen","Загружено","Wczytano","Loaded","Caricato/i","Cargados","Chargé :","已讀取","読み込み済み：","Carregado","已加载",
"str_server_browser_list_entry_root_detailed_info_detail_info_panel_battlleye_battlleye_label0","BattlEye:","BattlEye:","BattlEye:","BattlEye:","BattlEye:","BattlEye:","BattlEye:","BattlEye:","BattlEye:","BattlEye :","BattlEye：","BattlEye：","BattlEye:","BattlEye：",
"server_browser_tab_internet","Internet","Internet","Internet","Internet","Интернет","Internet","Internet","Internet","Internet","Internet","網路","インターネット","Internet","Internet",
"server_browser_tab_id","id","id","id","id","id","id","id","id","id","id","id","ID","id","id",
"server_browser_entry_private","Private","Private","Soukromé","Privat","Закрытый","Prywatny","Private","Privato","Privado","Privé","私人","非公開","Privado","私有",
"server_browser_entry_high","High","High","Hodně","Hoch","Большая","Dużo","High","Alto","Muchos","Élevé","高","高","Muitos","高",
"server_browser_tab_remote","Remote","Remote","Dálkové","Remote","Удаленно","Zdalny","Remote","Remoto","Remoto","Distant","遠端","遠隔","Remoto","远程",
"server_browser_tab_community","Community","Community","Komunita","Community","Сообщество","Społeczność","Community","Community","Comunidad","Communauté","社群","コミュニティ","Comunidade","社区",
"server_browser_tab_favorite","Favorite","Favorite","Přidat do oblíbených","Favoriten","Добавить в Избранное","Ulubione","Favorite","Aggiungi ai preferiti","Hacer favorito","En favori","最愛","お気に入りに登録","Favoritar","收藏",
"server_browser_tab_lan","LAN","LAN","LAN","LAN","ЛВС","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN","LAN",
"server_browser_tab_history","History","History","Historie","Verlauf","История","Historia","History","Cronologia","Historial","Histoire","歷史紀錄","履歴","História","历史记录",
"server_browser_menu_unfavorite","Unfavorite","Unfavorite","Odebrat z oblíbených","Aus Favoriten entfernen","Удалить из избранного","Usuń z ulubionych","Unfavorite","Rimuovi dai preferiti","Quitar de favoritos","Retirer favoris","厭惡","お気に入りを解除","Desfavoritar","未收藏",
"server_browser_tab_friends","Friends","Friends","Přátelé","Freunde","Друзья","Znajomi","Friends","Amici","Amigos","Amis","好友","フレンド","Amigos","好友",
"server_browser_entry_person_first","1st person","1st person","1. osoba","Nur 1st Person","Вид от 1 лица","1-osobowa","1st person","Prima persona","1ª persona","1ère personne","第一人稱","一人称","1ª pessoa","第一人称",
"server_browser_menu_connect","Connect","Connect","Připojit","Verbinden","Подключиться","Połącz","Connect","Connetti","Conectar","Connexion","連線","接続","Conectar","连接",
"server_browser_menu_favorite","Favorite","Favorite","Oblíbené","Als Favorit markieren","Добавить в Избранное","Ulubione","Favorite","Aggiungi ai preferiti","Favorito","En favori","最愛","お気に入りに登録","Favoritar","收藏",
"server_browser_entry_official","Official","Official","Oficiální","Offiziell","Официальный","Oficjalne","Official","Ufficiale","Oficial","Officiels","官方","公式","Oficial","官方",
"server_browser_entry_person_both","1st/3rd person","1st/3rd person","1./3. osoba","1st/3rd Person","1-е/3-е лицо","1- / 3-osobowa","1st/3rd person","1a/3a persona","1ª/3ª persona","1ère/3e pers.","第一／第三人稱","一人称/三人称","1ª/3ª pessoa","第一/第三人称",
"server_browser_entry_medium","Medium","Medium","Středně","Moderat","Средняя","Średnio","Medium","Medio","Bastantes","Moyen","中","中","Bastante","中等",
"server_browser_entry_enabled","Enabled","Enabled","Zapnuto","Aktiviert","Включено","Włączone","Enabled","Abilitato","Activado","Activé","已啟動","有効化","Ativado","已启用",
"server_browser_entry_low","Low","Low","Málo","Niedrig","Маленькая","Mało","Low","Basso","Pocos","Bas","低","低","Poucos","低",
"layout_server_browser_item_popularity","Popularity","Popularity","Oblíbenost","Beliebtheit","Популярность","Popularność","Popularity","Popolarità","Popularidad","Popularité","熱門度","人気度","Popularidade","热门程度",
"layout_server_browser_server_serarch","Search","Search","Hledat","Suchen","Поиск","Wyszukaj","Search","Cerca","Buscar","Chercher","搜尋","検索","Buscar","搜索",
"layout_server_browser_ip_serarch","Search","Search","Hledat","Suchen","Поиск","Wyszukaj","Search","Cerca","Buscar","Chercher","搜尋","検索","Buscar","搜索",
"server_browser_entry_full","Full","Full","Plno","Voll","Заполнено","Pełny","Full","Pieno","Lleno","Complet","滿載","満員","Cheio","满",
"server_browser_entry_empty","Empty","Empty","Prázdno","Leer","Пусто","Pusty","Empty","Vuoto","Vacío","Aucun","空","空席あり","Vazio","空",
"server_browser_entry_disabled","Disabled","Disabled","Vypnuto","Deaktiviert","Отключено","Wyłączone","Disabled","Disabilitato","Desactivado","Désactivé","已關閉","無効化","Desativado","已禁用",
"layout_server_browser_item_ping","PING","PING","PING","PING","ПИНГ","PING","PING","PING","PING","PING","PING","ping","PING","PING",
"multi_enter_server_address_edit_label","Address:","Address:","Adresa:","Adresse:","Адрес:","Adres:","Address:","Indirizzo:","Dirección:","Adresse :","位址：","アドレス：","Endereço:","地址：",
"multi_enter_server_host_label","Host IP Address","Host IP Address","IP adresa hostitele","IP-Adresse des Hosts:","IP-адрес сервера","Adres IP hosta","Host IP Address","Indirizzo IP host","Dirección IP del anfitrión","Adresse IP hôte","主辦 IP 位址","ホスト IP アドレス","Endereço IP do host","主机 IP 地址",
"server_browser_refresh","Refresh List","Refresh List","Obnovit seznam","Liste aktualisieren","Обновить список","Odśwież listę","Refresh List","Aggiorna lista","Actualizar lista","Actualiser liste","刷新清單","リフレッシュリスト","Atualizar lista","刷新列表",
"multi_enter_server_host_message","Enter Host IP address and port","Enter Host IP address and port","Zadej IP adresu a port hostitele","IP-Adresse des Hosts und Port eingeben","Введите IP-адрес и порт сервера","Wprowadzić adres IP i port hosta","Enter Host IP address and port","Inserisci indirizzo IP e porta dell’host","Escribir IP y puerto del anfitrión","Saisir l'adresse IP et le port de l'hôte","輸入主辦 IP 位址與通訊埠","ホスト IP アドレスとポートを入力","Insira o endereço IP do host e a porta","输入主机 IP 地址和端口",
"multi_enter_server_password_edit_label","Password:","Password:","Heslo:","Passwort:","Пароль:","Hasło:","Password:","Password:","Contraseña:","Saisir :","密碼：","パスワード：","Senha:","密码：",
"server_browser_remove_favorite","Remove From Favorites","Remove From Favorites","Odstranit z oblíbených","Aus Favoriten entfernen","Удалить из Избранного","Usuń z ulubionych","Remove From Favorites","Rimuovi dai preferiti","Quitar de favoritos","Retirer des serveurs favoris","移出最愛清單","お気に入りから削除","Remover dos favoritos","从收藏夹中删除",
"multi_enter_server_password_label","PASSWORD PROTECTED SERVER","PASSWORD PROTECTED SERVER","SERVER CHRÁNĚNÝ HESLEM","PASSWORTGESCHÜTZTER SERVER","СЕРВЕР ЗАЩИЩЕН ПАРОЛЕМ","SERWER CHRONIONY HASŁEM","PASSWORD PROTECTED SERVER","SERVER PROTETTO DA PASSWORD","SERVIDOR CON CONTRASEÑA","PROTÉGÉ PAR MOT DE PASSE","有密碼保護的伺服器","パスワード保護されたサーバー","SERVIDOR PROTEGIDO POR SENHA","受密码保护的服务器",
"server_browser_wrong_password","Cannot join the session. Wrong password was given.","Cannot join the session. Wrong password was given.","K relaci se nelze připojit. Bylo zadáno nesprávné heslo.","Sitzung beitreten nicht möglich. Falsches Passwort.","Присоединение невозможно. Был введен неверный пароль.","Nie można dołączyć do sesji. Błędne hasło.","Cannot join the session. Wrong password was given.","Impossibile unirsi alla sessione. La password fornita non è corretta.","No puedes unirte a la sesión; la contraseña no es válida.","Impossible de rejoindre session : mot de passe incorrect.","無法加入這個場次。輸入的密碼錯誤。","セッションに参加できません。パスワードが間違っています。","Não é possível entrar na sessão. Senha incorreta.","无法加入会话。提供的密码错误。",
"server_browser_wrong_version","Bad version, server rejected connection.","Bad version, server rejected connection.","Špatná verze, server připojení odmítl.","Falsche Version. Verbindung vom Server abgelehnt.","Некорректная версия, сервер отказал в соединении.","Zła wersja, serwer odrzucił połączenie.","Bad version, server rejected connection.","Versione errata. Il server ha rifiutato la connessione.","Versión equivocada. El servidor ha rechazado la conexión.","Mauvaise version, connexion refusée par le serveur.","版本錯誤，伺服器拒絕連線。","不良バージョンです。サーバーが接続を拒絶しました。","Versão inválida, conexão rejeitada pelo servidor.","版本错误，服务器拒绝连接。",
"server_browser_column_host","Host","Host","Hostitel","Host","Сервер","Host","Host","Host","Anfitrión","Hôte","主辦","ホスト","Host","主机",
"server_browser_filter","Filter","Filter","Filtrovat","Filtern","Фильтр","Filtruj","Filter","Filtra","Filtrar","Filtrer","篩選","フィルター","Filtrar","筛选",
"server_browser_wrong_connect_error","Connecting failed.","Connecting failed.","Připojení se nezdařilo.","Verbindung fehlgeschlagen.","Не удалось соединиться.","Połączenie nie powiodło się.","Connecting failed.","Connessione fallita.","Error al conectar.","Échec de la connexion.","連線失敗。","接続に失敗しました。","Falha na conexão.","连接失败。",
"server_browser_column_pass","PASSWORD","PASSWORD","HESLO","PASSWORT","ПАРОЛЬ","HASŁO","PASSWORD","PASSWORD","CONTRASEÑA","MOT DE PASSE","密碼","パスワード","SENHA","密码",
"multi_enter_server_password_message","Enter game password","Enter game password","Zadej heslo ke hře.","Spielpasswort eingeben","Введите пароль для игры","Wprowadź hasło gry","Enter game password","Inserisci password di gioco","Introduce la contraseña","Saisir le mot de passe","輸入密碼","ゲームのパスワードを入力してください","Digite a senha do jogo","输入游戏密码",
"multi_enter_server_port_edit_label","Port:","Port:","Port:","Port:","Порт:","Port:","Port:","Porta:","Puerto:","Port :","通訊埠：","ポート：","Porta:","端口：",
"server_browser_column_version","VERSION","VERSION","VERZE","VERSION","ВЕРСИЯ","WERSJA","VERSION","VERSIONE","VERSIÓN","VERSION","版本","バージョン","VERSÃO","版本",
"server_browser_column_mode","MODE","MODE","REŽIM","MODUS","РЕЖИМ","TRYB","MODE","MODALITÀ","MODO","MODE","模式","モード","MODO","模式",
"server_browser_column_time","Time","Time","Čas","Zeit","Время","Pora","Time","Ora","Hora","Heure","時間","時間","Tempo","时间",
"server_browser_column_hive","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","HIVE","COLMENA","RUCHE","巢穴","HIVE","HIVE","HIVE",
"multi_server_not_compatible_message","Your currently installed game version is not compatible with this server","Your currently installed game version is not compatible with this server","Aktuálně nainstalovaná verze není s tímto serverem kompatibilní.","Deine aktuelle Spieleversion ist nicht mit diesem Server kompatibel","Ваша текущая версия игры несовместима с этим сервером","Zainstalowana wersja gry nie jest kompatybilna z tym serwerem","Your currently installed game version is not compatible with this server","La versione di gioco attualmente installata non è compatibile con questo server","La versión del juego que tienes instalada no es compatible con este servidor.","La version de jeu que vous utilisez n'est pas compatible avec ce serveur.","現有的遊戲版本與伺服器不符","現在インストールしているゲームバージョンはこのサーバーと互換性がありません。","A versão do jogo atualmente instalada não é compatível com este servidor","你当前安装的游戏版本与此服务器不兼容",
"server_browser_column_players","PLAYERS","PLAYERS","HRÁČI","SPIELER","ИГРОКИ","GRACZE","PLAYERS","GIOCATORI","JUGADORES","JOUEURS","玩家","プレイヤー","JOGADORES","玩家",
"multi_server_not_whitelisted_message","You are not whitelisted on this server.","You are not whitelisted on this server.","Na tomto serveru nejsi na seznamu povolených.","Du stehst nicht auf der Whitelist dieses Servers.","Вы не внесены в белый список на этом сервере.","Nie ma Cię na białej liście tego serwera.","You are not whitelisted on this server.","Non sei nella lista bianca di questo server.","No tienes autorización para acceder a este servidor.","Vous n'êtes pas vérifié sur ce serveur.","你沒有被列入此伺服器的白名單。","このサーバーのホワイトリストに載っていません。","Você não está na lista de permissões deste servidor.","您不在此服务器的白名单上。",
"server_browser_column_popularity","Pop.","Pop.","Pop.","Bel.","Числ.","Pop.","Pop.","Pop.","Pob.","Pop.","熱門度","人気","Pop.","人气",
"server_browser_version_filter","Proper version match","Proper version match","Shodná verze","Passende Version","Версия совпадает","Dopasowanie wersji","Proper version match","Versione corretta","Misma versión","Versions compatibles","遊戲版本相符","適切なバージョン一致","Versão compatível","正确版本匹配",
"server_browser_column_slots","Slots","Slots","Místa","Plätze","Места","Miejsca","Slots","Slot","Ranuras","Taille","欄位","スロット","Vagas","空位数",
"server_browser_column_ping","Ping","Ping","Ping","Ping","Пинг","Ping","Ping","Ping","Ping","Ping","Ping","ping","Ping","Ping",
"multi_server_password_invalid_message","You have entered an invalid password.","You have entered an invalid password.","Zadáno neplatné heslo.","Du hast ein ungültiges Passwort eingegeben.","Вы ввели неверный пароль.","Wprowadzono nieprawidłowe hasło.","You have entered an invalid password.","Password inserita non valida.","La contraseña utilizada no era válida.","Le mot de passe saisi est incorrect.","輸入的密碼無效。","無効なパスワードが入力されました。","Você digitou uma senha inválida.","你输入的密码无效。",
"server_browser_third_person_filter","Third Person","Third Person","Třetí osoba","Schulterperspektive","От третьего лица","P. trzecioosobowa","Third Person","Terza persona","Tercera persona","3e personne","第三人稱","三人称","Terceira pessoa","第三人称",
"server_browser_details","Details","Details","Podrobnosti","Details","Подробнее","Szczegóły","Details","Dettagli","Detalles","Détails","說明","詳細","Detalhes","详细信息",
"server_browser_session_full","Maximum number of players has been reached.","Maximum number of players has been reached.","Byl dosažen maximální počet hráčů.","Die maximale Spielerzahl wurde erreicht.","Достигнуто максимальное число игроков!","Osiągnięto limit liczby graczy.","Maximum number of players has been reached.","Numero massimo di giocatori raggiunto.","Se ha alcanzado el máximo de jugadores.","Nombre maximal de joueurs atteint.","玩家人數已達最大。","最大プレイヤー人数に達しました。","O número máximo de jogadores foi atingido.","已达到玩家人数上限。",
"servers_count","servers found","servers found","nalezeno serverů","Gefundene Server","Найдено серверов:","znalezione serwery","servers found","server trovati","servidores encontrados","Serveur(s) trouvé(s) :","已找到伺服器","見つかったサーバー","servidores encontrados","找到的服务器数",
"server_browser_steam_friends_text","Steam friends","Steam friends","Přátelé ze Steamu","Steam-Freunde:","Друзья в Steam","Znajomi Steam","Steam friends","Amici di Steam","Amigos de Steam","Amis Steam","Steam 好友","Steam フレンド","Amigos do Steam","Steam 好友",
"server_browser_acc_time_filter","Accelerated Time","Accelerated Time","Zrychlený čas","Beschleunigte Zeit","Ускоренное время","Przyspieszony czas","Accelerated Time","Tempo velocizzato","Tiempo acelerado","Temps accéléré","加速時間","加速時間","Tempo acelerado","加速时间",
"server_browser_connect","Connect","Connect","Připojit","Verbinden","Подключиться","Połącz","Connect","Connetti","Conectar","Connexion","連線","接続","Conectar","连接",
"server_browser_license","LICENSE","LICENSE","LICENCE","LIZENZ","УСЛОВИЯ","LICENCJA","LICENSE","LICENZA","LICENCIA","LICENCE","授權規章","ライセンス","LICENÇA","许可",
"server_browser_column_friends","FRIENDS","FRIENDS","PŘÁTELÉ","FREUNDE","ДРУЗЬЯ","ZNAJOMI","FRIENDS","AMICI","AMIGOS","AMIS","好友","フレンド","AMIGOS","好友",
"server_browser_connect_label","CONNECT","CONNECT","PŘIPOJIT","VERBINDEN","ПОДКЛЮЧИТЬСЯ","POŁĄCZ","CONNECT","CONNETTI","CONECTAR","CONNEXION","連線","接続","CONECTAR","连接",
"server_browser_no_steam_friends","none","none","žádný","keine","нет","brak","none","nessuno","nada","aucun","無","なし","nenhum","无",
"server_browser_add_favorite","Add To Favorites","Add To Favorites","Přidat do oblíbených","Zu Favoriten hinzufügen","Добавить в Избранное","Dodaj do ulubionych","Add To Favorites","Aggiungi ai preferiti","Añadir a favoritos","Ajouter aux favoris","加到最愛清單","お気に入りに追加","Adicionar aos favoritos","添加至收藏夹",
"server_browser_ping_filter","Ping","Ping","Ping","Ping","Пинг","Ping","Ping","Ping","Ping","Ping","Ping","ping","Ping","Ping",
"server_browser_name_filter_default","Full-Text Server name","Full-Text Server name","Kompletní název serveru","Volltext-Servername","Полное имя сервера","Pełna nazwa serwera","Full-Text Server name","Nome server full-text","Nombre del servidor completo","Nom du serveur","伺服器名稱全數使用文字","フルテキストのサーバー名","Nome completo do servidor","全文服务器名称",
"server_browser_agree","AGREE","AGREE","SOUHLASIT","ZUSTIMMEN","СОГЛАСЕН","PRZYJMUJĘ","AGREE","ACCETTO","ACEPTO","ACCEPTER","同意","同意する","ACEITAR","同意",
"server_browser_agree_battleye_license","This server is using BattlEye anti-cheat. You will need to agree to the BattlEye license to connect.","This server is using BattlEye anti-cheat. You will need to agree to the BattlEye license to connect.","Tento server používá ochranu proti podvádění BattlEye. K připojení budeš muset souhlasit s licencí BattlEye.","Dieser Server nutzt die BattlEye-Anticheat-Software. Bevor du dich verbindest, musst du der BattlEye-Lizenz zustimmen. ","На этом сервере используется технология борьбы с читерством BattlEye. Чтобы подключиться к серверу, вы должны принять условия лицензии BattlEye.","Ten serwer korzysta z chroniącego przed oszustwami oprogramowania BattlEye. Aby się połączyć, musisz przyjąć warunki licencyjne BattlEye.","This server is using BattlEye anti-cheat. You will need to agree to the BattlEye license to connect.","Questo server utilizza il sistema anti-cheat BattlEye. Dovrai accettare i termini di licenza di BattlEye per connetterti.","Este servidor usa el sistema antitrampas BattlEye. Tendrás que aceptar la licencia de BattlEye para conectarte.","Ce serveur utilise le logiciel anti-triche BattlEye. Pour le rejoindre, vous devez accepter la licence BattlEye.","本伺服器使用 BattlEye 防止作弊。必須先同意 BattlEye 授權才能連線。","このサーバーは BattlEye チート防止を使っています。接続するには BattlEye ライセンスに同意する必要があります。","Este servidor está usando o sistema antitrapaça BattlEye. Você precisará concordar com a licença do BattlEye para se conectar.","此服务器正在使用 BattlEye 反作弊功能。你需要同意 BattlEye 许可才能连接。",
"server_browser_all","All","All","Vše","Alle","Все","Wszystko","All","Tutto","Todo","Tous","全部","全て","Tudo","全部",
"server_browser_prev_play_filter","Previously played","Previously played","Hráno v minulosti","Zuletzt gespielt","Посещённые ранее","Odwiedzono","Previously played","Giocato in precedenza","Ya utilizados","Déjà utilisés","曾經遊玩","前にプレイ済み","Jogado anteriormente","之前玩过",
"server_browser_password_filter","Passworded","Passworded","Chrání heslo","Mit Passwort","Защищенные паролем","Hasło","Passworded","Con password","Con contraseña","Avec mot de passe","密碼保護","パスワード保護","Com senha","已设定密码",
"server_browser_americas","Americas","Americas","Amerika","Amerika","Северная и Южная Америка","Ameryki","Americas","Americhe","América","Amériques","美國","北南米","Américas","美洲",
"server_browser_asia","Asia","Asia","Asie","Asien","Азия","Azja","Asia","Asia","Asia","Asie","亞洲","アジア","Ásia","亚洲",
"server_browser_bad_file_patching","The server does not accept the client's current filePatching setting.","The server does not accept the client's current filePatching setting.","Server nepřijímá aktuální nastavení filePatching klienta.","Der Server akzeptiert die aktuelle FilePatching-Einstellung des Clients nicht.","Сервер не принимает текущие настройки filePatching клиента.","Serwer nie przyjmuje ustawienia filePatching klienta.","The server does not accept the client's current filePatching setting.","Il server non accetta l’attuale impostazione filePatching del client.","El servidor no acepta la configuración actual de filePatching del cliente.","Ce serveur refuse le paramètre de modification de jeu actuel du client.","伺服器不接受客戶端目前的 filePatching 設定。","このサーバーはクライアントの現在の filePatching 設定を承認していません。","O servidor não aceita a configuração atual de filePatching do cliente.","服务器不接受客户端当前的 filePatching 设置。",
"server_browser_public_filter","Public","Public","Veřejné","Öffentlich","Открытые","Publiczne","Public","Pubblico","Público","Public","開放","公開","Público","公共",
"server_browser_battleye_filter","BattlEye-protected","BattlEye-protected","Chrání BattlEye","Durch BattlEye geschützt","Защищенные BattlEye","Ochrona BattlEye","BattlEye-protected","Protetto da BattlEye","Protección de BattlEye","Protégé par BattlEye","BATTLEYE 保護","BattlEye 保護","Protegido pelo BattlEye","受 BATTLEYE 保护",
"server_browser_remote_default","IP address[:port]","IP address[:port]","IP adresa[:port]","IP-Adresse[:Port]","IP[:порт]","Adres IP [:port]","IP address[:port]","Indirizzo IP[:porta]","Dirección IP[:port]","Adresse IP [:port]","IP 位址 [:通訊埠]","IP アドレス[:port]","Endereço IP[:porta]","IP 地址[:端口]",
"server_browser_friend_filter","Friends playing","Friends playing","Hrající přátelé","Freunde im Spiel","Друзья в игре","Znajomi w grze","Friends playing","Amici in gioco","Amigos jugando","Amis en jeu","好友正在遊玩","プレイ中のフレンド","Amigos jogando","正在玩游戏的好友",
"server_browser_favorite_filter","Favorited","Favorited","Oblíbené","Favoriten","У вас в избранном","Ulubione","Favorited","Tra i preferiti","Favoritos","En favori","最愛","お気に入り登録済み","Favoritos","已收藏",
"server_browser_show","Show","Show","Zobrazit","Zeigen","Показ.","Pokaż","Show","Mostra","Mostrar","Afficher","展示","表示","Mostrar","显示",
"server_browser_char_restrict","Restrict to selected character","Restrict to selected character","Omezit na vybranou postavu","Nut ausgewählter Charakter","Ограничить выбранным персонажем","Ogranicz do wybranej postaci","Restrict to selected character","Solo questo personaggio","Restringir al personaje seleccionado","Restreindre au perso choisi","只限選定人物","選択したキャラクターに制限","Restringir ao personagem selecionado","限制为选定角色",
"server_browser_disagree","DISAGREE","DISAGREE","ODMÍTNOUT","ABLEHNEN","ОТКЛОНИТЬ","ODRZUCAM","DISAGREE","RIFIUTO","NO ACEPTO","REFUSER","不同意","同意しない","DISCORDAR","不同意",
"server_browser_collapse","Collapse all server details","Collapse all server details","Sbalit všechny podrobnosti serveru","Alle Serverdetails ausblenden","Свернуть всю информацию о сервере","Ukryj szczegóły serwera","Collapse all server details","Comprimi tutti i dettagli del server","Ocultar detalles de servidores","Réduire détails serveurs","收起所有伺服器詳情","全サーバー詳細を折りたたむ","Ocultar todos os detalhes do servidor","折叠所有服务器详细信息",
"server_browser_full_servers_filter","Full Servers","Full Servers","Plné servery","Volle Server","Заполненные серверы","Pełne serwery","Full Servers","Server completi","Servidores llenos","Serveurs complets","伺服器滿載","満員サーバー","Servidores cheios","已满服务器",
"server_browser_connecting_failed","CONNECTING FAILED","CONNECTING FAILED","PŘIPOJENÍ SELHALO","VERBINDUNG FEHLGESCHLAGEN","НЕ УДАЛОСЬ СОЕДИНИТЬСЯ","POŁĄCZENIE NIE POWIODŁO SIĘ","CONNECTING FAILED","CONNESSIONE NON RIUSCITA","ERROR AL CONECTAR","ÉCHEC DE LA CONNEXION","連線失敗","接続に失敗しました。","FALHA NA CONEXÃO","连接失败",
"server_browser_password_default","Server password...","Server password...","Heslo serveru...","Server-Passwort …","Пароль сервера...","Hasło serwera...","Server password...","Password del server...","Contraseña del servidor...","Mot de passe serveur...","伺服器密碼……","サーバーパスワード...","Senha do servidor...","服务器密码...",
"server_browser_disabled","Disabled","Disabled","Vypnuto","Deaktiviert","Отключено","Wyłączone","Disabled","Disabilitato","Desactivado","Désactivé","已關閉","無効化","Desativado","已禁用",
"server_browser_slots_descending","Slots - Descending","Slots - Descending","Pozice – sestupně","Plätze - absteigend","Места – По убыванию","Miejsca – malejąco","Slots - Descending","Slot - Decrescenti","Ranuras (descendente)","Taille - Décroissant","欄位（由高至低）","スロット――降順","Vagas - Decrescente","空位数 - 降序",
"server_browser_dlc_livonia","LIVONIA DLC","LIVONIA DLC","DLC LIVONIA","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC","LIVONIA DLC",
"server_browser_slots_ascending","Slots - Ascending","Slots - Ascending","Pozice – vzestupně","Plätze - aufsteigend","Места – По возрастанию","Miejsca – rosnąco","Slots - Ascending","Slot - Crescenti","Ranuras (ascendente)","Taille - Croissant","欄位（由低至高）","スロット――昇順","Vagas - Crescente","空位数 - 升序",
"server_browser_error_unknown","An unknown error has occurred.","An unknown error has occurred.","Vyskytla se neznámá chyba.","Ein unbekannter Fehler ist aufgetreten.","Произошла неизвестная ошибка.","Wystąpił nieznany błąd.","An unknown error has occurred.","Si è verificato un errore sconosciuto.","Se ha producido un error desconocido.","Une erreur inconnue s'est produite.","发生未知错误。","不明なエラーが発生しました。","Um erro desconhecido ocorreu.","发生未知错误。",
"server_browser_europe","Europe","Europe","Evropa","Europa","Европа","Europa","Europe","Europa","Europa","Europe","歐洲","ヨーロッパ","Europa","欧洲",
